Symbol	Description
XBC	Xebec Adsorption Inc
XCT	Exactearth Ltd
XFA	Ishares Edge MSCI Multifact USA Idx CAD
XFF	Ishares Edge MSCI Multifact EAFE Idx CAD
XLY	Auxly Cannabis Group Inc
XTC	Exco Tech
XTD	Tdb Split Corp Class A Shares
XTG	Xtra Gold Resources Corp
Y	Yellow Pages Limited
YCM	Commerce Split Corp Capital Shares
YGR	Yangarra Resources Ltd
YRB	Yorbeau Resources Inc
YRI	Yamana Gold Inc
ZCPB	BMO Core Plus Bond Fund
ZFC	BMO Sia Focused Canadian Equity Fund
ZFN	BMO Sia Focused North American Equity Fu
ZGSB	BMO Global Strategic Bond Fund
ZMSB	BMO Global Multi Sector Bond Fund
ZMU	BMO Mid Term US IG Corp Bd Hgd CAD Idx
ZZZ	Sleep Country Canada Holdings Inc
U.U	Sprott Physical Uranium Trust USD
AD.DB	Alaris Royalty Corp 5.50 Pct Debs
AH.DB	Aleafia Health Inc 8.50 Pct Debs
AI.DB.C	Atrium Mortgage Inv Corp 5.30 Pct Debs
AI.DB.D	Atrium Mortgage Inv Corp 5.50 Pct Debs
AI.DB.E	Atrium Mortgage Inv Corp 5.60 Pct Debs
AR.DB.U	Argonaut Gold Inc. 4.625%
CU.X	CDN Util Cl B
DC.A	Dundee Corp Cl.A Sv
DN.DB	Delta 9 Cannabis Inc 8.5 Pct Debs
FC.DB.E	Firm Cap Mtg Invest Corp 5.30 Pct Debs
FC.DB.F	Firm Capital Mortgage 5.50 Pct Debs
FC.DB.G	Firm Capital Mortgage Inv 5.20 Pct Debs
FC.DB.H	Firm Capital Mortgage 5.30 Pct Debs
FC.DB.I	Firm Capital Mtg Inv Corp 5.40 Pct Debs
FC.DB.J	Firm Capital Mtg Inv Corp 5.5 Pct Debs
GC.DB	Great Canadian Gaming Corp 5.25 Pct Debs
MR.DB.A	Melcor REIT 5.25 Pct Debs
MR.DB.B	Melcor REIT 5.1 Pct Debs
OR.DB	Osisko Gold Royalties Ltd 4.00 Pct Debs
TD.PF.A	TD Bank Pref Ser 1
TD.PF.B	TD Bank Pref Ser 3
TD.PF.C	TD Bank Pref Ser 5
TD.PF.D	TD Bank Pref Ser 7
TD.PF.E	TD Bank Pref Ser 9
TD.PF.H	TD Bank Pref Ser 14
TD.PF.I	TD Bank Pref Ser 16
TD.PF.J	TD Bank Pref Series 18
TD.PF.K	TD Bank Pref Series 20
TD.PF.L	TD Bank Pref Series 22
TD.PF.M	TD Bank Pref Series 24
TF.DB.B	Timbercreek Financial Corp 5.45 Pct Debs
TF.DB.C	Timbercreek Financial Corp 5.30 Pct Debs
TF.DB.D	Timbercreek Financial Corp 5.25 Pct Debs
TH.DB.U	Theratechnologies 5.75 Pct Debs
ACD.DB	Accord Financial Corp 7.00 Pct Debs
ACO.X	Atco Ltd Cl.I NV
ACO.Y	Atco Ltd Cl II
ADW.A	Andrew Peller Limited Cl.A
ADW.B	Andrew Peller Limited Cl.B
AFN.DB.D	Ag Growth Intl Inc 4.85 Pct Debs
AFN.DB.E	Ag Growth Intl Inc 4.50 Pct Debs
AFN.DB.F	Ag Growth Intl Inc 5.4 Pct Debs
AFN.DB.G	Ag Growth Intl Inc 5.25 Pct Debs
AFN.DB.H	Ag Growth Intl Inc 5.25 Pct Debs
AGF.B	AGF Management Ltd Cl.B NV
AKT.A	Akita Drilling Ltd Cl.A NV
AKT.B	Akita Cl B
ALC.DB.A	Algoma Central Corp 5.25 Pct Debs
ARE.DB.C	Aecon Group Inc 5.0 Pct Debs
ATD.A	Alimentation Couche-Tard Inc Cl A Mv
ATD.B	Alimentation Couche-Tard Inc Cl B Sv
BAM.A	Brookfield Asset Management Inc Cl.A Lv
BAM.PF.A	Brookfield Asset Mgmt Inc Pref Ser 32
BAM.PF.B	Brookfield Asset Mgmt Inc Pref Ser 34
BAM.PF.C	Brookfield Asset Mgmt Inc Pref Ser 36
BAM.PF.D	Brookfield Asset Mgmt Inc Pr Ser 37
BAM.PF.E	Brookfield Asset Mgmt Pref Ser 38
BAM.PF.F	Brookfield Asset Mgmt Inc Pref Ser 40
BAM.PF.G	Brookfield Asset Mgmt Inc Pref Ser 42
BAM.PF.H	Brookfield Asset MGT Inc Pref Ser 44
